-183.509, 78.130, 1.544,  1.765
-183.503, 78.078, 1.549,  1.798
-183.497, 78.027, 1.557,  1.831
-183.492, 77.975, 1.567,  1.864
-183.487, 77.923, 1.579,  1.897
-183.482, 77.870, 1.591,  1.930
-183.477, 77.817, 1.603,  1.963
-183.471, 77.763, 1.615,  1.996
-183.466, 77.709, 1.626,  2.029
-183.460, 77.655, 1.635,  2.062
-183.455, 77.601, 1.643,  2.095
-183.450, 77.546, 1.649,  2.128
-183.444, 77.491, 1.655,  2.161
-183.439, 77.436, 1.659,  2.194
-183.433, 77.381, 1.662,  2.227
-183.428, 77.326, 1.666,  2.260
-183.422, 77.271, 1.670,  2.293
-183.417, 77.215, 1.674,  2.326
-183.411, 77.159, 1.678,  2.359
-183.406, 77.104, 1.684,  2.392
-183.400, 77.048, 1.690,  2.425
-183.394, 76.991, 1.697,  2.458
-183.389, 76.935, 1.704,  2.491
-183.384, 76.878, 1.712,  2.524
-183.379, 76.821, 1.720,  2.557
-183.373, 76.764, 1.728,  2.590
-183.368, 76.706, 1.736,  2.623
-183.362, 76.648, 1.743,  2.656
-183.357, 76.590, 1.750,  2.689
-183.352, 76.532, 1.757,  2.722
-183.346, 76.474, 1.763,  2.755
-183.341, 76.415, 1.769,  2.788
-183.335, 76.356, 1.775,  2.821
-183.330, 76.297, 1.781,  2.854
-183.324, 76.238, 1.787,  2.887
-183.318, 76.178, 1.793,  2.920
-183.313, 76.119, 1.799,  2.953
-183.307, 76.059, 1.806,  2.986
-183.301, 75.999, 1.812,  3.019
-183.296, 75.938, 1.819,  3.052
-183.291, 75.878, 1.826,  3.085
-183.285, 75.817, 1.833,  3.118
-183.280, 75.756, 1.840,  3.151
-183.275, 75.695, 1.847,  3.184
-183.269, 75.633, 1.854,  3.217
-183.264, 75.571, 1.861,  3.250
-183.258, 75.509, 1.868,  3.283
-183.253, 75.447, 1.875,  3.316
-183.247, 75.385, 1.881,  3.349
-183.241, 75.322, 1.888,  3.382
-183.236, 75.259, 1.895,  3.415
-183.230, 75.196, 1.902,  3.448
-183.225, 75.133, 1.908,  3.481
-183.219, 75.069, 1.915,  3.514
-183.213, 75.006, 1.922,  3.547
-183.208, 74.942, 1.929,  3.580
